Movi Live Data
2013-01-23  21:02:02

Time(seconds)	rpm
226.029052	4655
227.402677	3961
228.774213	3246
230.109832	1677
231.463106	1494
232.826833	1838
234.161813	1792
235.544086	1754
236.904900	1693
238.243026	1731
239.607889	1745
241.000354	1778
242.337967	1763
243.678225	1726
245.017288	1768
246.349171	1729
247.690066	1788
249.046354	1751
250.397160	1682
251.750355	1562
253.089627	1379
254.448686	1201
255.824315	886
257.149230	829
258.493417	744
259.858263	666
261.217843	872
262.584705	683
263.953090	690
265.312120	697
266.689954	700
268.035890	698
269.397935	696
270.728420	686
272.105096	695
273.462688	698
274.875831	709
276.250867	2117
277.609090	3073
278.970821	2748
280.330064	3148
281.683872	2545
283.049650	2560
284.456415	2471
285.809898	1736
287.138940	1734
288.508403	1701
289.848909	1643
291.237362	1645
292.574803	1776
293.942062	1708
295.263489	1677
296.640635	1725
298.031332	1709
299.407717	1717
300.741301	1836
302.107454	1862
303.447732	1876
304.810638	1891
306.158118	1867
307.486077	1878
308.847657	1878
310.184089	1891
311.562393	1904
312.920891	1906
314.250813	1896
315.581265	1917
316.938156	1859
318.309549	1889
319.677312	1761
321.016934	1758
322.376293	1745
323.704750	1707
325.104655	1776
326.436955	1931
327.793878	1902
329.187546	1768
330.521112	1745
331.860078	1763
333.201231	1816
334.563862	1788
335.889809	1752
337.254432	1740
338.595816	1697
339.957079	1632
341.293927	1690
342.645978	1622
344.031134	1584
345.366078	1552
346.701752	1531
348.033886	1330
349.409936	1135
350.782114	948
352.141924	870
353.479263	796
354.816920	756
356.207588	634
357.535704	713
358.893202	715
360.250507	672
361.641671	679
362.987374	680
364.312418	680
365.684809	678
367.023920	678
368.443771	679
369.796731	675
371.179075	675
372.558659	673
373.921104	674
375.286143	677
376.653458	678
378.007614	677
379.330879	685
380.728324	683
382.064863	680
383.448407	684
384.783503	695
386.115812	665
387.510161	676
388.872989	672
390.204661	676
391.539727	687
392.936004	687
394.272715	680
395.633437	681
396.967473	681
398.309633	683
399.646271	680
401.040009	676
402.395691	679
403.725751	690
405.165845	1140
406.518992	2039
