Movi Live Data
2013-01-23  21:02:02

Time(seconds)	lb-ft
578.728873	0
580.058519	0
581.412084	1.5
582.771635	12.78
584.165374	28.97
585.531010	45.51
586.855956	55.81
588.187972	92.85
589.512505	90.02
590.870074	82.23
592.231768	95.31
593.567353	79.88
594.952955	62.56
596.296552	66.46
597.662003	37.39
598.991310	25.31
600.310261	12.84
601.688546	6.5
603.025636	6.5
604.399672	0
605.772804	0
607.170280	6.4
608.514214	0
609.845930	6.5
611.174105	12.94
612.555507	12.98
613.889806	4.6
615.244630	9.2
616.572596	9.2
617.966092	13.71
619.352563	19.99
620.781504	11.57
622.105645	6.4
623.447976	0
624.769109	0
626.113562	0
627.460969	0
628.799061	0
630.138618	0
631.468582	0
632.836416	0
634.164759	0
635.504537	6.7
636.834685	13
638.172846	19.45
639.508283	25.91
640.904754	12.97
642.262476	6.5
643.573220	0
644.940067	0
646.287504	0
647.620473	0
648.969607	0
650.326218	6.5
651.726491	0
653.061577	0
654.418024	0
655.779864	0
657.115944	0
658.464090	0
659.824389	6.4
661.179079	12.84
662.522370	25.53
663.841812	25.61
665.179427	31.88
666.515202	25.5
667.894628	25.52
669.229553	25.77
670.580380	12.85
671.938736	6.5
673.303741	0
674.672614	0
676.027316	0
677.394560	0
678.767634	0
680.137641	0
681.504219	0
682.841152	0
684.186673	0
685.522045	0
686.885892	0
688.233445	0
689.619748	0
690.949641	0
692.316067	0
693.734548	0
695.086998	0
696.437033	0
697.797112	0
699.157480	0
700.536691	0
701.928088	0
703.271256	0
704.608961	0
705.980520	0
707.316514	0
708.691468	0
710.019983	0
711.416306	0
712.746648	0
714.136818	0
715.472248	0
716.822425	0
718.157820	0
719.509737	0
720.840399	0
722.195639	0
723.524199	0
724.858494	0
726.190731	0
727.554704	0
728.878499	0
730.252652	0
731.634898	0
733.002389	0
734.340871	0
735.732704	0
737.066867	0
738.425288	0
739.758331	0
741.093776	0
742.457322	0
743.818590	0
745.182687	0
746.513805	0
747.863954	0
749.221354	0
750.556170	0
751.944546	0
753.308437	0
754.672062	0
756.028766	0
757.401993	0
758.743912	0
760.097083	0
761.462158	0
762.852907	0
